"Origin","Destination","YEAR","MS_ALL_TOT","MS_MAL_TOT","MS_MAL_LOW","MS_MAL_MED","MS_MAL_HIG","MS_FEM_TOT","MS_FEM_LOW","MS_FEM_MED","MS_FEM_HIG","MR_ALL_TOT","MR_MAL_TOT","MR_MAL_LOW","MR_MAL_MED","MR_MAL_HIG","MR_FEM_TOT","MR_FEM_LOW","MR_FEM_MED","MR_FEM_HIG","NS_ALL_TOT","NS_MAL_TOT","NS_MAL_LOW","NS_MAL_MED","NS_MAL_HIG","NS_FEM_TOT","NS_FEM_LOW","NS_FEM_MED","NS_FEM_HIG","RS_ALL_TOT","RS_MAL_TOT","RS_MAL_LOW","RS_MAL_MED","RS_MAL_HIG","RS_FEM_TOT","RS_FEM_LOW","RS_FEM_MED","RS_FEM_HIG"
"Macedonia","Oecd",1990,175511.329010814,97133.9893620643,52998.0510847024,23567.6525774898,20568.2856998722,78377.3396487499,40179.2804121973,16828.4040877567,21369.6551487959,0.138267539168793,0.152442608389004,0.166011786345088,0.101572909162865,0.239404582859421,0.123980185168426,0.0973132527886444,0.109944328124825,0.32267103178187,1269360.32901081,637183.989362064,319242.701084702,232026.95257749,85914.3356998722,632176.33964875,412886.007412197,153062.958087757,66227.3741487959,1093849,540050,266244.65,208459.3,65346.05,553799,372706.727,136234.554,44857.719
"Madagascar","Oecd",1990,17117.8363215933,7715.37824004865,2265.50443254765,1355.39857656337,4094.47523093763,9402.45808154461,4731.63038493121,1616.55863765711,3054.26905895629,0.00396009811961235,0.00364045175402412,0.00128053193103146,0.00479186819178762,0.0608370133162845,0.00426757423941174,0.00231176440993376,0.0136734751212019,0.0798604432972555,4322578.83632159,2119346.37824005,1769190.11361379,282853.893787454,67302.3708388006,2203232.45808154,2046761.49723526,118225.88064321,38245.0802030704,4305461,2111631,1766924.60918125,281498.49521089,63207.895607863,2193830,2042029.86685033,116609.322005553,35190.8111441141
"Malawi","Oecd",1990,8740.85002587255,4408.82041187436,2130.592486371,902.433757837359,1375.794167666,4332.02961399819,2235.75813805904,1059.23504501612,1037.03643092303,0.0026659679375952,0.00282561119018281,0.00149108321161612,0.00777699434067866,0.0894599938686416,0.00252100945566529,0.00132923076248703,0.0315004996017986,0.376956741813179,3278677.85002587,1560306.82041187,1428889.05848637,116038.885757837,15378.876167666,1718371.029614,1681993.97813806,33625.9760450161,2751.07543092303,3269937,1555898,1426758.466,115136.452,14003.082,1714039,1679758.22,32566.741,1714.039
"Malaysia","Oecd",1990,121032.097711219,56167.4808438167,10180.9638387331,6447.91749030226,39538.5995147813,64864.6168674027,15078.3831826917,10147.8763458633,39638.3573388477,0.0150553462209587,0.0138771742388986,0.00405175529596991,0.00477087164927351,0.215791919553414,0.0162499882488598,0.00494292156133812,0.0123303939946053,0.335422263106316,8039144.09771122,4047472.48084382,2512729.19883873,1351517.7024903,183225.579514781,3991671.6168674,3050500.19418269,822996.925345863,118174.497338848,7918112,3991305,2502548.235,1345069.785,143686.98,3926807,3035421.811,812849.049,78536.14
"Maldives","Oecd",1990,152.673442100216,74.1751250417108,20.2493396784925,8.71928330764145,45.2065020555768,78.4983170585055,26.348163222387,19.5649882789558,32.5851655571627,0.00200842045813151,0.00188299135059839,0.000632295881399882,0.00245797839205032,0.0118349853978723,0.00214332811821598,0.00082895424385523,0.00758984491255738,0.014406159789362,76016.6734421002,39392.1751250417,32025.1013396785,3547.33928330764,3819.73450205558,36624.4983170585,31784.8221632224,2577.78498827896,2261.89116555716,75864,39318,32004.852,3538.62,3774.528,36546,31758.474,2558.22,2229.306
"Mali","Oecd",1990,25475.9593901013,19211.0226259415,17565.7835182454,591.358605407658,1053.88050228847,6264.93676415979,5893.40081648077,158.281971641041,213.253976037975,0.00880973919239224,0.0139021620014227,0.0133322042878053,0.0110050555849136,0.0994929487291032,0.00414917924670057,0.00395929054266842,0.00803224366060871,0.124207940315047,2891794.9593901,1381873.02262594,1317545.33151825,53735.1766054077,10592.5145022885,1509921.93676416,1488499.20281648,19705.822971641,1716.91097603797,2866319,1362662,1299979.548,53143.818,9538.634,1503657,1482605.802,19547.541,1503.657
"Malta","Oecd",1990,99194.641344344,51141.2830243963,25402.2729180223,14564.1624665689,11174.8476398051,48053.3583199476,26311.584781255,14595.5968789479,7146.17665974469,0.305918702317385,0.320624383435465,0.283653893009313,0.275749431948355,0.652170059011452,0.291680852979008,0.244956671393317,0.30500837575524,0.753813188306504,324251.641344344,159505.283024396,89553.7609180223,52816.6544665689,17134.8676398051,164746.358319948,107413.219781255,47853.1018789479,9480.03665974469,225057,108364,64151.488,38252.492,5960.02,116693,81101.635,33257.505,2333.86
"Marshall Islands","Oecd",1990,805.648000379249,345.274960118728,28.9776369290423,26.8773998771943,289.419923312491,460.373040260521,197.699590157675,130.803295296696,131.87015480615,0.0360091020993045,0.0286823385683288,0.00407292179944789,0.0066958131872051,0.318348664865518,0.0445426314863564,0.0296142682035169,0.0407250717823311,0.294434428996811,22373.4543048995,12037.8943054519,7114.70496020092,4014.06059663579,909.128748615147,10335.5599994476,6675.8222353844,3211.86162656307,447.876137500137,21567.8063045202,11692.6193453331,7085.72732327188,3987.1831967586,619.708825302656,9875.18695918709,6478.12264522673,3081.05833126637,316.005982693987
"Mauritania","Oecd",1990,6874.71346355639,5055.27173503237,4029.36245037002,604.447385107909,421.461899554448,1819.44172852401,1358.40934362015,336.4082637642,124.624121139663,0.0091411195612351,0.0139752907216626,0.0121959210340966,0.0270306431066326,0.04692483757059,0.00466122604820862,0.00355507669638823,0.0484655708367623,0.0965949574461254,752064.713463556,361729.271735032,330386.07245037,22361.5613851079,8981.63789955445,390335.441728524,382104.08934362,6941.1802637642,1290.17212113966,745190,356674,326356.71,21757.114,8560.176,388516,380745.68,6604.772,1165.548
"Mauritius","Oecd",1990,63641.2543678571,29725.3192097045,12969.0898108775,4740.76398993719,12015.4654088898,33915.9351581526,18966.2384330768,6304.16105615455,8645.53566892126,0.104858125763593,0.0999794402392653,0.0749713356148125,0.0453438330277707,0.607592081677623,0.109543017447989,0.0850572551381273,0.0834942789002416,0.777000479308093,606927.254367857,297314.319209704,172987.311810877,104551.460989937,19775.5464088898,309612.935158153,222982.018433077,75504.1080561546,11126.8086689213,543286,267589,160018.222,99810.697,7760.081,275697,204015.78,69199.947,2481.273
"Mexico","Oecd",1990,2686723.23849112,1463813.05423014,1087360.38667602,172464.126265832,203988.541288292,1222910.18426098,905895.891444014,154220.722446822,162793.57037014,0.0758009823829979,0.0855256340962316,0.0973723039319924,0.0446074866489333,0.0979682807386912,0.0667201470180891,0.0700537449644131,0.0374065945688717,0.127712673484323,35444438.2384911,17115489.0542301,11167039.730676,3866259.66226583,2082189.66128829,18328949.184261,12931441.308444,4122821.77044682,1274686.10537014,32757715,15651676,10079679.344,3693795.536,1878201.12,17106039,12025545.417,3968601.048,1111892.535
"Micronesia, Federated States of","Oecd",1990,1395.16249880691,668.883555555556,20.4622222222222,92.08,556.341333333333,726.278943251355,258.777777777778,213.769609918022,253.731555555556,0.0395486031183516,0.0378544404920684,0.00198218415123652,0.0156348136769302,0.381736994997693,0.0412487895257506,0.0228345816237954,0.039004486177526,0.319591922648024,35277.1624988069,17669.8835555556,10323.0682222222,5889.421,1457.39433333333,17607.2789432514,11332.7137777778,5480.64160991802,793.923555555556,33882,17001,10302.606,5797.341,901.053,16881,11073.936,5266.872,540.192
"Moldova","Oecd",1990,19029.7732419122,8219.75116360117,4500.48263835778,2053.72928811831,1665.53923712508,10810.0220783111,5075.87801994282,3156.61126129055,2577.53279707772,0.00751535866262181,0.00714176121883753,0.026481858469042,0.00249049055005043,0.0106514443170033,0.00782667951478393,0.00862466128981292,0.0047770209414351,0.0195483020968254,2532117.77324191,1150941.7511636,169945.876103029,824628.420323348,156367.454737224,1381176.02207831,588530.708555271,660790.752226061,131854.561296979,2513088,1142722,165445.393464672,822574.691035229,154701.915500099,1370366,583454.830535329,657634.14096477,129277.028499901
"Monaco","Oecd",1990,3649.13431390753,1131.72201593273,647.716546806927,129.315261299455,354.690207826349,2517.41229797479,1191.02291775669,833.122305670682,493.267074547421,0.15940157141692,0.109148555285765,0.146975165232021,0.0378007277796357,0.139604049075704,0.201005881109169,0.19899703932144,0.207773997899705,0.195029545939666,22892.7122955589,10368.6394471254,4406.97954504366,3420.9727932572,2540.68710882453,12524.0728484335,5985.12883316235,4009.75249113145,2529.19152413971,19243.5779816514,9236.91743119266,3759.26299823673,3291.65753195774,2185.99690099819,10006.6605504587,4794.10591540566,3176.63018546076,2035.92444959229
"Mongolia","Oecd",1990,1872.71294594356,1078.01290629411,73.1785206024362,69.5383881406136,935.295997551063,794.70003964945,193.004319566578,217.794895348326,383.900824734546,0.00224178008695035,0.00263670174627812,0.000211582399546756,0.00128056063050227,0.107716448487795,0.00186322000971016,0.000468605994617107,0.0167669381108433,0.231115773896653,835368.712945943,408849.012906294,345862.986520602,54303.0813881406,8682.94499755106,426519.700039649,411869.079319567,12989.5448953483,1661.07582473455,833496,407771,345789.808,54233.543,7747.649,425725,411676.075,12771.75,1277.175
"Morocco","Oecd",1990,710928.234448539,426920.271099017,311954.825856698,57718.1499156232,57247.2953266963,284007.963349522,215807.323587303,38026.7333146334,30173.9064475857,0.0674197532550221,0.0822268828143161,0.0738785577638456,0.0819083901268095,0.216209684883541,0.0530575647772864,0.0453639446753654,0.0791496873872329,0.262056164416262,10544806.2344485,5191979.27109902,4222535.40538607,704667.126606501,264776.739106447,5352826.96334952,4757243.33789024,480440.726551337,115142.898907946,9833878,4765059,3910580.57952937,646948.976690878,207529.44377975,5068819,4541436.01430294,442413.993236703,84968.9924603601
"Mozambique","Oecd",1990,6325.74598115065,3312.77651107936,1548.83011779643,765.101698378694,998.844694904232,3012.96947007129,1577.01284890743,754.060003712078,681.896617451775,0.0013848950478362,0.00163832346492723,0.000787894816410481,0.0149335918814177,0.198328097454651,0.00118359012334768,0.000626107591335366,0.0319009860171276,0.211473426556142,4567671.74598115,2022052.77651108,1965782.8501178,51233.6016983787,5036.32469490423,2545618.96947007,2518756.95284891,23637.5140037121,3224.50261745178,4561346,2018740,1964234.02,50468.5,4037.48,2542606,2517179.94,22883.454,2542.606
"Namibia","Oecd",1990,1198.48990316938,608.170823408078,163.050998144871,103.309353472376,341.810471790831,590.319079761302,186.532956956161,130.561031830044,273.225090975097,0.00238440213323575,0.00253727832144963,0.00138046648876785,0.000949754368122747,0.0266906242620417,0.00224504308315297,0.00129547777232959,0.0011752795737315,0.034734027135377,502637.489903169,239694.170823408,118112.970848285,108774.812667167,12806.3873079559,262943.319079761,143987.771106816,111089.339718135,7866.20825481001,501439,239086,117949.91985014,108671.503313695,12464.5768361651,262353,143801.23814986,110958.778686305,7592.98316383492
"Nauru","Oecd",1990,251,116.033298011132,13.1058823529412,30.9743275179964,71.9530881401949,134.966701988868,22.1465517241379,47.9910013721804,64.8291488925492,0.0597414326198855,0.0513945454348062,0.0066652406593885,0.158127149020703,0.75334565960079,0.0694365131065546,0.0125418909960685,0.445679166708711,0.922762926148017,4201.43925233645,2257.69674640513,1966.30294728826,195.882413044334,95.5113860725289,1943.74250593132,1765.80642672466,107.680602902281,70.2554763043766,3950.43925233645,2141.66344839399,1953.19706493532,164.908085526338,23.5582979323339,1808.77580394245,1743.65987500053,59.689601530101,5.42632741182736
"Nepal","Oecd",1990,9608.11141211468,6323.96349875453,1482.26955172419,1009.60931943677,3832.08462759357,3284.14791336014,1045.09893321514,766.342400394331,1472.70657975068,0.0012897210860679,0.00174464996101453,0.000482835169184745,0.00209348027824592,0.0527961494388892,0.000858604320007899,0.000282716749102151,0.0066397508767427,0.11382969521709,7449759.11141212,3624774.96349876,3069928.71755173,482263.592319437,72582.6536275936,3824984.14791336,3696628.99893322,115417.342400394,12937.8065797507,7440151,3618451,3068446.448,481253.983,68750.569,3821700,3695583.9,114651,11465.1
"Netherlands","Oecd",1990,532726.420923789,270345.66090155,92455.6414965053,57315.9023040398,120574.117101005,262380.760022239,102852.458086651,73820.89056147,85707.411374118,0.0511509005831277,0.0533214622528457,0.0548380112072067,0.025464589171119,0.106389772862078,0.0490918505491134,0.0445523572645008,0.0312014701556176,0.127888475848886,10414800.4209238,5070109.66090155,1685977.2894965,2250808.05030404,1133324.32110101,5344690.76002224,2308574.99808665,2365942.70056147,670173.061374118,9882074,4799764,1593521.648,2193492.148,1012750.204,5082310,2205722.54,2292121.81,584465.65
"New Zealand","Oecd",1990,245183.96519483,123735.089279786,18218.7284167043,54314.8084604095,51201.5524026727,121448.875915044,18295.7861308097,57486.1363212382,45666.9534629956,0.107131888730917,0.111437404551408,0.0530145752242843,0.11902333144021,0.164973379298425,0.103074516220097,0.0575437103129775,0.0961803820496219,0.173885804549326,2288617.96519483,1110355.08927979,343655.086165038,456337.491172426,310362.511942322,1178262.87591504,317945.888982476,597690.871009221,262626.115923346,2043434,986620,325436.357748334,402022.682712017,259160.95953965,1056814,299650.102851666,540204.734687983,216959.16246035
"Nicaragua","Oecd",1990,105806.051756107,46604.6111059039,17540.9752070107,8089.22909458327,20974.4068043099,59201.4406502034,26131.6297476878,13729.2832806978,19340.5276218178,0.0745069463544862,0.0683251273303257,0.0324118804939387,0.13580642804605,0.257840225370245,0.0802206629713894,0.0451589162550595,0.143219567460755,0.304761009787068,1420083.05175611,682100.611105904,541189.679207011,59564.4050945833,81346.5268043099,737982.440650204,578659.363747688,95861.7842806978,63461.2926218178,1314277,635496,523648.704,51475.176,60372.12,678781,552527.734,82132.501,44120.765
"Niger","Oecd",1990,1594.65638016894,1103.53040887164,423.889258444635,150.116084181387,529.525066245619,491.125971297297,215.943432784929,89.8863926948952,185.296145817472,0.000592615492485308,0.000829779179273606,0.000327072833251384,0.00561681024012365,0.0738163198633328,0.000360864622907714,0.000160141889952129,0.00819106063034493,0.119872638862672,2690878.65638017,1329908.53040887,1296008.76425844,26726.2160841814,7173.55006624562,1360970.1259713,1348450.63243278,10973.7183926949,1545.77514581747,2689284,1328805,1295584.875,26576.1,6644.025,1360479,1348234.689,10883.832,1360.479
"Nigeria","Oecd",1990,104129.837277645,66333.8740465664,13533.6754638515,7988.02817580275,44812.1704069121,37795.9632310781,12769.7206300865,7404.34260081936,17621.9000001723,0.00323619394420385,0.00420720959162887,0.00102153042768567,0.0042960312714056,0.0680119540705682,0.00230323845023552,0.000831099699284728,0.00822901659315607,0.121288398943871,32176636.8372776,15766714.8740466,13248431.076608,1859397.12054032,658886.676898235,16409921.9632311,15364848.0935278,899784.623958278,145289.245744989,32072507,15700381,13234897.4011442,1851409.09236452,614074.506491323,16372126,15352078.3728977,892380.281357459,127667.345744817
"Norway","Oecd",1990,124561.984123325,52869.4243223438,19892.8809810603,13621.4455051549,19355.0978361287,71692.559800981,29083.7409481265,23845.1231943221,18763.6956585324,0.0428082922227612,0.0376526533029101,0.0350186149823152,0.0232538687755796,0.0773281006468878,0.0476163971191239,0.0430384410364852,0.039428505366706,0.0833582748593651,2909762.98412333,1404135.42432234,568065.898411641,585771.152173165,250298.373737538,1505627.55980098,675761.952517546,604768.630526312,225096.976757123,2785201,1351266,548173.017430581,572149.70666801,230943.275901409,1433935,646678.21156942,580923.50733199,206333.281098591
"Occupied Palestinian Territory","Oecd",1990,27213.5807080569,15975.0697217643,4402.19910595609,2201.4736820794,9371.39693372876,11238.5109862927,4816.44551883639,3039.38427085861,3382.6811965977,0.0369935418968899,0.0430468318484952,0.018112151433996,0.0315954443707906,0.160524404977319,0.0308308581183164,0.0157496138984658,0.0881451789706371,0.139628019060346,735630.580708057,371109.069721764,243052.247105956,69676.9336820794,58379.8889337288,364521.510986293,305813.561518836,34481.5712708586,24226.3781965977,708417,355134,238650.048,67475.46,49008.492,353283,300997.116,31442.187,20843.697
"Oman","Oecd",1990,694.530134882288,434.146030952746,199.515909862922,88.4502342961453,146.179886793679,260.384103929542,117.924446148998,62.3460488823589,80.1136088981852,0.000965577984642775,0.000975817058592848,0.000692242653918023,0.000795371428119951,0.00321400056394615,0.000948975667036926,0.000668583035736904,0.00089815463463844,0.00280225198403691,719289.530134882,444905.146030953,288216.723909863,111206.200234296,45482.2218867937,274384.384103929,176379.656446149,69415.7180488823,28589.0096088982,718595,444471,288017.208,111117.75,45336.042,274124,176261.732,69353.372,28508.896
"Pakistan","Oecd",1990,323178.665959533,187310.936197197,88289.2846022593,40736.1882961708,58285.4632987665,135867.729762336,73406.5868290869,32817.8774599028,29643.2654733467,0.00753715239241898,0.00846197808611598,0.00535617031360513,0.00863837944991745,0.0622563671873444,0.0065502135029432,0.0038117112901535,0.0258568279650223,0.137809726169951,42878085.6659595,22135596.9361972,16483658.9266023,4715721.10629617,936216.903298766,20742488.7297623,19258170.7378291,1269215.1374599,215102.854473347,42554907,21948286,16395369.642,4674984.918,877931.44,20606621,19184764.151,1236397.26,185459.589
"Palau","Oecd",1990,894.96249880691,306.846153846154,15.0312296493545,23.9706348983761,267.844289298423,588.116344960756,150.3425066313,103.669726923621,334.104111405836,0.0773886605788983,0.0503756203469071,0.00284126562463629,0.0510705577777351,0.808045519773167,0.107450825112189,0.0309365112677201,0.391379976915043,0.957977638543445,11564.5172317524,6091.16377591156,5290.328900973,469.363091797412,331.471783141143,5473.35345584089,4859.71108151974,264.882551582666,348.759822738476,10669.5547329455,5784.3176220654,5275.29767132365,445.392456899036,63.6274938427194,4885.23711088013,4709.36857488844,161.212824659044,14.6557113326404
"Panama","Oecd",1990,89651.3074245969,35776.8488037133,3892.61845839096,6407.94358651299,25476.2867588093,53874.4586208836,8899.90506951891,14505.1272692521,30469.4262821126,0.0782534356978648,0.0630643696249329,0.0129773488841535,0.0409978761241155,0.229407352139574,0.0931525693947393,0.0308549357278555,0.0865198029563008,0.249234529755772,1145653.3074246,567306.848803713,299954.828458391,156299.403586513,111052.616758809,578346.458620884,288443.481069519,167650.951269252,122252.026282113,1056002,531530,296062.21,149891.46,85576.33,524472,279543.576,153145.824,91782.6
"Papua New Guinea","Oecd",1990,12489.9240049302,5687.06331106085,734.441523244621,1539.40339545041,3413.21839236582,6802.86069386938,1165.41703552772,2336.93717074039,3300.50648760127,0.00803646777779204,0.00675844544778692,0.000962604744031942,0.0233614316815997,0.270742377311555,0.00954545164471807,0.0017097456721932,0.091176515543005,0.609158528678624,1554155.92400493,841475.063311061,762973.097523245,65895.0793954504,12606.8863923658,712680.860693869,681631.809035528,25630.9111707404,5418.14048760127,1541666,835788,762238.656,64355.676,9193.668,705878,680466.392,23293.974,2117.634
"Paraguay","Oecd",1990,11609.1808723516,5149.34218480291,1805.62059915925,1046.29431833665,2297.427267307,6459.83868754866,2454.21499678735,1396.34573136714,2609.27795939417,0.00706629861345499,0.00632472735159836,0.0031513496952706,0.005924599984134,0.035568693966297,0.00779482915501434,0.00396378339440266,0.00950290403754591,0.0416582788659321,1642894.18087235,814160.342184803,572967.386599159,176601.681318337,64591.274267307,828733.838687549,619159.714996787,146938.843731367,62635.2799593942,1631285,809011,571161.766,175555.387,62293.847,822274,616705.5,145542.498,60026.002
"Peru","Oecd",1990,167899.814204821,75214.6698414685,14068.067009585,19697.26995819,41449.3328736935,92685.144363353,22749.2417955257,30988.0075087204,38947.8950591069,0.0182837554375561,0.0165108195655113,0.00549779238543927,0.0170804759793367,0.049144565351652,0.0200290871283705,0.00734469121899272,0.0302582273124243,0.0769665542734656,9183004.81420482,4555477.66984147,2558857.45100959,1153203.80895819,843416.409873693,4627527.14436335,3097372.11779553,1024118.40550872,506036.621059107,9015105,4480263,2544789.384,1133506.539,801967.077,4534842,3074622.876,993130.398,467088.726
"Philippines","Oecd",1990,1008867.88761464,408205.291426329,76727.9933424862,66619.148852274,264858.149231568,600662.596188312,135682.889792155,94918.9739025999,370060.732493557,0.0409487942437487,0.033769997655064,0.012381792539996,0.0192241755971682,0.109193518811653,0.0478634889703648,0.0199441825954035,0.030442521342417,0.140793693188584,24637303.8876146,12087809.2914263,6196840.48934249,3465383.91285228,2425584.88923157,12549494.5961883,6803131.14579215,3117973.4699026,2628389.98049356,23628436,11679604,6120112.496,3398764.764,2160726.74,11948832,6667448.256,3023054.496,2258329.248
"Poland","Oecd",1990,1004219.21448464,457719.68033862,201533.140723447,97777.8518200875,158408.687795086,546499.534146022,271492.189648932,123461.359473022,151545.985024067,0.0414518676777773,0.0400936464907752,0.0455898233749581,0.0166800256152904,0.139724800287224,0.0426623243452839,0.0428094935660587,0.0226201125785884,0.150048044142182,24226151.2144846,11416264.6803386,4420572.96572345,5861972.52182009,1133719.19279509,12809886.534146,6341868.75464893,5458034.70447302,1009983.07502407,23221932,10958545,4219039.825,5764194.67,975310.505,12263387,6070376.565,5334573.345,858437.09
"Portugal","Oecd",1990,1057871.12513075,550746.578349603,448546.414972814,59346.3913430946,42853.772033695,507124.546781149,417421.659796117,55210.666280413,34492.2207046193,0.143340598867395,0.157338292585974,0.150969853736591,0.209126129910029,0.174546030892564,0.130711482391679,0.123750182602126,0.209251404300362,0.142073841558497,7380122.12513075,3500397.5783496,2971099.22193757,283782.764825356,245515.591586681,3879724.54678115,3373099.34433137,263848.486298151,242776.716151633,6322251,2949651,2522552.80696475,224436.373482262,202661.819552986,3372600,2955677.68453525,208637.820017738,208284.495447014
"Qatar","Oecd",1990,923.002963184363,539.834575074732,126.365815899606,120.024309959975,293.444449215151,383.168388109631,124.069137360811,88.8980958587126,170.201154890108,0.00329091508336997,0.00253260550602291,0.000916356765593891,0.00225298234938692,0.013350476887333,0.0056920706761039,0.00287450005699383,0.00522225061019778,0.0238670018485366,280470.002963184,213153.834575075,137900.2378159,53273.52430996,21980.0724492151,67316.1683881096,43161.9881373608,17022.9470958587,7131.23315489011,279547,212614,137773.872,53153.5,21686.628,66933,43037.919,16934.049,6961.032
"Romania","Oecd",1990,285265.746924455,155134.23798455,57008.402507815,50251.1362186345,47874.6992581005,130131.508939905,52667.3981248499,40951.6683769794,36512.4424380753,0.0201319092669029,0.0226674294728819,0.0654181288872644,0.0093068537178907,0.0835346563565794,0.01776320269317,0.0155374156016451,0.0118122577035102,0.0778002149443901,14169830.7469245,6843927.23798455,871446.546660759,5399368.86748698,573111.823836812,7325903.50893991,3389714.18897191,3466879.01710864,469310.302859364,13884565,6688793,814438.144152944,5349117.73126834,525237.124578711,7195772,3337046.79084706,3425927.34873166,432797.860421289
"Russia","Oecd",1990,324638.993217554,140696.552749533,88544.348959215,23250.0267924424,28902.1769978759,183942.440468021,113335.167091524,36658.8009437997,33948.472432697,0.00342237055347956,0.00333380148857473,0.0361183835182486,0.000711160361791728,0.00409469232606542,0.00349335889694635,0.00587108178425973,0.00134743312027302,0.00552499148621821,94857931.9932176,42203038.5527495,2451503.64812087,32693085.8939681,7058449.01066058,52654893.440468,19303966.6719299,27206397.4027682,6144529.36577,94533293,42062342,2362959.29916165,32669835.8671757,7029546.8336627,52470951,19190631.5048383,27169738.6018244,6110580.8933373
"Rwanda","Oecd",1990,2647.95170152565,1294.00702849454,396.571067207751,244.30022438914,653.135736897651,1353.94467303111,488.8825524606,397.103779682191,467.958340888318,0.00118805736470212,0.0012088631609807,0.000382645723750139,0.00905728915014427,0.0924078287273952,0.0011688311105635,0.000427484781208018,0.0302570596032759,0.287978024774458,2228807.95170153,1070433.00702849,1036392.26206721,26972.7752243891,7067.96973689765,1158374.94467303,1143625.63055246,13124.3347796822,1624.97934088832,2226160,1069139,1035995.691,26728.475,6414.834,1157021,1143136.748,12727.231,1157.021
"Saint Kitts and Nevis","Oecd",1990,12148.4021471706,5637.5803504137,1982.47144439142,1383.88042287159,2271.22848315068,6510.82179675691,2788.42521958283,1656.00248790074,2066.39408927334,0.450891553264025,0.440013841229681,0.365343153505509,0.311160782960816,0.772927483883122,0.460754292375838,0.41212021064321,0.345329367245209,0.804259715103275,26943.0688138373,12812.2795743395,5426.32707187581,4447.47699148791,2938.47551097578,14130.7892394978,6766.04822469356,4795.42907430998,2569.31194049423,14794.6666666667,7174.6992239258,3443.85562748438,3063.59656861632,667.2470278251,7619.96744274087,3977.62300511073,3139.42658640924,502.917851220897
"Saint Lucia","Oecd",1990,13465.1498169703,6563.95564319146,3100.56925448564,1944.4170709366,1518.96931776921,6901.19417377886,2974.04259718504,1999.8468547231,1927.30472187072,0.183601116873795,0.184381006228777,0.143955216875433,0.171722099378323,0.55467580074878,0.182865435387961,0.132393509468565,0.159395525718292,0.706207123864082,73339.1498169703,35599.9556431915,21538.4292544856,11323.0450709366,2738.48131776921,37739.1941737789,22463.658597185,12546.4428547231,2729.09272187072,59874,29036,18437.86,9378.628,1219.512,30838,19489.616,10546.596,801.788
"Saint Vincent and the Grenadines","Oecd",1990,18247.2429474645,9133.15448510007,3274.82834723267,2503.97116862832,3354.35496923909,9114.08846236438,3965.2038169711,2088.02913283146,3060.85551256182,0.2888764963058,0.295780451824191,0.191702094232312,0.262812203224056,0.785996724989324,0.282274017955195,0.213055032534562,0.208520636128209,0.835527823984949,63166.2429474644,30878.1544851001,17082.9033472327,9527.60616862832,4267.64496923909,32288.0884623644,18611.1718169711,10013.5371328315,3663.37951256182,44919,21745,13808.075,7023.635,913.29,23174,14645.968,7925.508,602.524
"Samoa","Oecd",1990,43733.2120261681,20966.4574225974,10746.9537335635,4378.63945575693,5840.86423327694,22766.7546035707,11549.6480303727,5365.72460255849,5851.3819706396,0.425659630678668,0.410869691381685,0.37103072178023,0.299289323722232,0.78567454372677,0.440254145773134,0.378203002862433,0.372700603796586,0.86333442161365,102742.212026168,51029.4574225974,28965.1317335635,14630.1224557569,7434.20323327694,51712.7546035707,30538.2240303727,14396.8766025585,6777.6539706396,59009,30063,18218.178,10251.483,1593.339,28946,18988.576,9031.152,926.272
"San Marino","Oecd",1990,2065.77801138668,743.933577094662,465.210137725678,164.271175017293,114.452264351691,1321.84443429202,620.060407839105,485.804282921417,215.979743531498,0.10327044120217,0.0795304173585606,0.0687091249810974,0.0894864113664015,0.153083320968592,0.124122689098583,0.0783781097254666,0.240116798670546,0.302003560778491,20003.5749565799,9354.07611078738,6770.71841409219,1835.71083596912,747.646860726082,10649.4988457925,7911.1426648458,2023.19989942881,715.156281517857,17937.7969451932,8610.14253369272,6305.50827636651,1671.43966095182,633.194596374391,9327.65441150045,7291.0822570067,1537.39561650739,499.176537986359
"Sao Tome and Principe","Oecd",1990,1424.62399155505,729.438735324681,576.660455736516,83.3026165622053,69.4756630259594,695.185256230368,497.447002744052,141.495443107405,56.2428103789121,0.0351172647392811,0.0376281777928233,0.0353713320331652,0.0364843555813064,0.0869368876466299,0.0328193360515479,0.0252408327304444,0.112462081129365,0.260386615663827,40567.6239915551,19385.4387353247,16303.0460712031,2283.24209746731,799.15056665423,21182.1852562304,19708.0265954955,1258.16134368563,215.997317049216,39143,18656,15726.3856154666,2199.93948090511,729.67490362827,20487,19210.5795927515,1116.66590057823,159.754506670304
"Saudi Arabia","Oecd",1990,10584.8997598955,6662.52992544183,1113.5393557192,1387.48866077323,4161.5019089494,3922.36983445365,939.210503281645,974.002972735384,2009.15635843662,0.00162048159948829,0.00164276943086246,0.000424226465977862,0.00136881901159074,0.00997578807912425,0.00158397838716907,0.00059045204579459,0.00155472362363918,0.0077533467873887,6531946.8997599,4055669.52992544,2624870.07535572,1013639.23866077,417160.215908949,2476277.36983445,1590663.47550328,626479.817972735,259134.076358437,6521362,4049007,2623756.536,1012251.75,412998.714,2472355,1589724.265,625505.815,257124.92
