"Origin","Destination","YEAR","MS_ALL_TOT","MS_MAL_TOT","MS_MAL_LOW","MS_MAL_MED","MS_MAL_HIG","MS_FEM_TOT","MS_FEM_LOW","MS_FEM_MED","MS_FEM_HIG","MR_ALL_TOT","MR_MAL_TOT","MR_MAL_LOW","MR_MAL_MED","MR_MAL_HIG","MR_FEM_TOT","MR_FEM_LOW","MR_FEM_MED","MR_FEM_HIG","NS_ALL_TOT","NS_MAL_TOT","NS_MAL_LOW","NS_MAL_MED","NS_MAL_HIG","NS_FEM_TOT","NS_FEM_LOW","NS_FEM_MED","NS_FEM_HIG","RS_ALL_TOT","RS_MAL_TOT","RS_MAL_LOW","RS_MAL_MED","RS_MAL_HIG","RS_FEM_TOT","RS_FEM_LOW","RS_FEM_MED","RS_FEM_HIG"
"Belarus","Oecd",1990,166931.932216783,70750.8598072311,42737.1895784938,15246.7154543647,12766.9547743726,96181.0724095516,60788.070771436,22464.1515030976,12928.8501350179,0.0248553645232397,0.0235570957467776,0.205977261256652,0.00664918804366559,0.0253879930187322,0.0259055796931767,0.0439376562682566,0.0118535235119857,0.0297829615339622,6716132.93221678,3003377.85980723,207484.987992157,2293019.14071893,502873.731096141,3712755.07240955,1383507.35870619,1895145.47977089,434102.233932473,6549201,2932627,164747.798413663,2277772.42526457,490106.776321769,3616574,1322719.28793475,1872681.32826779,421173.383797455
"Belgium","Oecd",1990,287085.941857356,123829.998427171,58524.883086275,26036.811547672,39268.3037932239,163255.943430185,88907.0010344356,36899.3338103435,37449.6085854062,0.0407010369169563,0.0368861232112662,0.031738042208949,0.0384316576065615,0.0469937095347855,0.044165723217104,0.0385695535649548,0.049495573753553,0.0579873452152298,7053528.94185736,3357088.99842717,1843997.89693937,677483.43863333,835607.66285447,3696439.94343019,2305108.37738134,745507.749724685,645823.81632416,6766443,3233259,1785473.0138531,651446.627085658,796339.359061246,3533184,2216201.3763469,708608.415914342,608374.207738754
"Belize","Oecd",1990,24318.9065582065,10420.4528311267,4002.22199346941,2307.99199430898,4110.23884334832,13898.4537270798,5539.8908715138,3698.85085022812,4659.71200533785,0.269169563353846,0.23545080352654,0.132415576436477,0.335169866421005,0.575123280956351,0.301547340136379,0.177844638050825,0.412858393727957,0.77906549825984,90347.9065582065,44257.4528311267,30224.7069504651,6886.03668030802,7146.70920035362,46090.4537270798,31150.1709145182,8959.12716422907,5981.15564833254,66029,33837,26222.4849569956,4578.04468599905,3036.4703570053,32192,25610.2800430044,5260.27631400095,1321.4436429947
"Benin","Oecd",1990,5415.42257486148,3566.80565249848,1337.70418743466,668.682803099249,1560.41866196457,1848.616922363,1100.67285365616,273.76848833591,474.175580370927,0.0030390371073989,0.00422005893573069,0.00189533686345495,0.005643001293876,0.0745967674315352,0.00197343550030051,0.00121225403320852,0.0107292355435689,0.144615036788637,1781953.42257486,845202.805652498,705787.036187435,118497.722803099,20918.0466619646,936750.616922363,907955.612853656,25516.1224883359,3278.88158037093,1776538,841636,704449.332,117829.04,19357.628,934902,906854.94,25242.354,2804.706
"Bhutan","Oecd",1990,151.240775364897,96.8122901021364,28.6730603696039,17.4743164353206,50.664913297212,54.4284852627604,17.4080402944461,15.6139078985678,21.4065370697465,0.0002312482048473,0.000296083950137088,0.000111729754714168,0.000284270537903966,0.00570782357799821,0.000166425864341173,6.02196630693422e-005,0.000507726764561872,0.00296688134550016,654019.240775365,326975.812290102,256628.68806037,61470.7263164353,8876.39791329721,327043.428485263,289075.684040294,30752.5799078986,7215.16453706975,653868,326879,256600.015,61453.252,8825.733,326989,289058.276,30736.966,7193.758
"Bolivia","Oecd",1990,34429.5010232554,17084.0456009892,2894.13543464204,3737.4143077481,10452.4958585991,17345.4554222662,4095.12221692202,4895.26969911455,8355.06350622962,0.0129482478186911,0.013309933492612,0.00333466267675549,0.0148330147751139,0.0638532456388689,0.0126107270039669,0.003880639503557,0.0239334190403164,0.0722471891573898,2659008.50102326,1283556.04560099,867894.511434642,251965.926307748,163695.607858599,1375452.45542227,1055269.94021692,204536.998699115,115645.51650623,2624579,1266472,865000.376,248228.512,153243.112,1358107,1051174.818,199641.729,107290.453
"Bosnia and Herzegovina","Oecd",1990,349412.149406863,179440.805860621,82932.0251448866,53857.6972878242,42651.0834279101,169971.343546242,85765.9744733526,48785.4739754082,35419.8950974809,0.12014680214156,0.127331271646808,0.1203265068429,0.101894824849707,0.222770797259792,0.113392368199626,0.0875002638745305,0.129845901171095,0.247572998592124,2908210.14940686,1409243.80586062,689224.904144886,528561.655287824,191457.24642791,1498966.34354624,980179.609473353,375718.243975408,143068.490097481,2558798,1229803,606292.879,474703.958,148806.163,1328995,894413.635,326932.77,107648.595
"Botswana","Oecd",1990,1264.28702967576,774.442660056984,163.600335125715,104.249051507587,506.593273423682,489.844369618779,153.200511382571,103.142663821449,233.501194414758,0.00261893633523767,0.00343905651993441,0.000902536331664981,0.00323797685826562,0.0431974319963935,0.00190188099616103,0.000707282360898796,0.00303038853637223,0.0337562682399718,482748.287029676,225190.442660057,181267.312335126,32195.7370515076,11727.3932734237,257557.844369619,216604.456511383,34036.1186638214,6917.26919441476,481484,224416,181103.712,32091.488,11220.8,257068,216451.256,33932.976,6683.768
"Brazil","Oecd",1990,156294.968323265,70699.4777303402,21693.045652117,19920.3033830009,29086.1286952223,85595.4905929243,26925.5639377209,24737.6845729857,33932.2420822177,0.00230138074326602,0.00213436815565219,0.000783494105960479,0.0068795445128633,0.0114460012324796,0.00246040046639318,0.000925004082735764,0.0074475542666914,0.0143836929827211,67913563.9683233,33124312.4777303,27687567.1266521,2895584.634383,2541160.71669522,34789251.4905929,29108589.2919377,3321585.00457299,2359077.19408222,67757269,33053613,27665874.081,2875664.331,2512074.588,34703656,29081663.728,3296847.32,2325144.952
"Brunei","Oecd",1990,4506.91971877356,2499.39590925143,499.617626622929,257.85171380031,1741.92656882819,2007.52380952213,614.543311284014,406.61892391085,986.361574327271,0.0361812918833705,0.0368857925889152,0.00931738762541343,0.0420546963187425,0.217550938053699,0.0353409143302353,0.0127411020365317,0.0958462352884195,0.227850879229762,124564.919718774,67760.3959092514,53622.0716266229,6131.34171380031,8006.98256882819,56804.5238095221,48233.136311284,4242.40892391085,4328.97857432727,120058,65261,53122.454,5873.49,6265.056,54797,47618.593,3835.79,3342.617
